 0.100000E+00   0.309266E+00   0.110308E+03   0.313294E+00   0.211195E-01
 0.129500E+00   0.294625E+00   0.109234E+03   0.298422E+00   0.272883E-01
 0.159000E+00   0.282595E+00   0.108930E+03   0.286187E+00   0.334349E-01
 0.188500E+00   0.270188E+00   0.107521E+03   0.273569E+00   0.395627E-01
 0.218000E+00   0.258490E+00   0.107019E+03   0.261670E+00   0.456752E-01
 0.247500E+00   0.244378E+00   0.104880E+03   0.247334E+00   0.517758E-01
 0.277000E+00   0.228875E+00   0.102750E+03   0.231600E+00   0.578681E-01
 0.306500E+00   0.210847E+00   0.996195E+02   0.213327E+00   0.639554E-01
 0.336000E+00   0.189944E+00   0.939240E+02   0.192165E+00   0.700413E-01
 0.365500E+00   0.169434E+00   0.859642E+02   0.171420E+00   0.761292E-01
 0.395000E+00   0.153675E+00   0.758456E+02   0.155489E+00   0.822223E-01
 0.424500E+00   0.144792E+00   0.626488E+02   0.146510E+00   0.883138E-01
 0.454000E+00   0.142793E+00   0.523513E+02   0.144494E+00   0.943975E-01
 0.483500E+00   0.145398E+00   0.479389E+02   0.147143E+00   0.100473E+00
 0.513000E+00   0.150567E+00   0.420057E+02   0.152399E+00   0.106541E+00
 0.542500E+00   0.157911E+00   0.400950E+02   0.159875E+00   0.112601E+00
 0.572000E+00   0.166758E+00   0.400129E+02   0.168894E+00   0.118651E+00
 0.601500E+00   0.176966E+00   0.348976E+02   0.179319E+00   0.124692E+00
 0.631000E+00   0.188541E+00   0.302100E+02   0.191161E+00   0.130723E+00
 0.660500E+00   0.201502E+00   0.267890E+02   0.204446E+00   0.136744E+00
 0.690000E+00   0.215902E+00   0.242141E+02   0.219240E+00   0.142753E+00
 0.719500E+00   0.231815E+00   0.222212E+02   0.235625E+00   0.148750E+00
 0.749000E+00   0.249324E+00   0.206504E+02   0.253699E+00   0.154735E+00
 0.778500E+00   0.268523E+00   0.193927E+02   0.273572E+00   0.160707E+00
 0.808000E+00   0.289514E+00   0.183799E+02   0.295361E+00   0.166664E+00
 0.837500E+00   0.312405E+00   0.175444E+02   0.319199E+00   0.172605E+00
 0.867000E+00   0.337316E+00   0.168615E+02   0.345228E+00   0.178530E+00
 0.896500E+00   0.364373E+00   0.162906E+02   0.373602E+00   0.184438E+00
 0.926000E+00   0.393708E+00   0.158209E+02   0.404486E+00   0.190327E+00
 0.955500E+00   0.425457E+00   0.154261E+02   0.438051E+00   0.196197E+00
 0.985000E+00   0.459752E+00   0.151084E+02   0.474472E+00   0.202045E+00
 0.101450E+01   0.496717E+00   0.148425E+02   0.513916E+00   0.207871E+00
 0.104400E+01   0.536455E+00   0.146207E+02   0.556538E+00   0.213673E+00
 0.107350E+01   0.579039E+00   0.144457E+02   0.602465E+00   0.219449E+00
 0.110300E+01   0.624502E+00   0.143051E+02   0.651785E+00   0.225199E+00
 0.113250E+01   0.672822E+00   0.141921E+02   0.704532E+00   0.230920E+00
 0.116200E+01   0.723915E+00   0.141047E+02   0.760674E+00   0.236610E+00
 0.119150E+01   0.777630E+00   0.140453E+02   0.820108E+00   0.242269E+00
 0.122100E+01   0.833743E+00   0.139949E+02   0.882649E+00   0.247894E+00
 0.125050E+01   0.891968E+00   0.139729E+02   0.948037E+00   0.253483E+00
 0.128000E+01   0.951958E+00   0.139544E+02   0.101594E+01   0.259037E+00
 0.130950E+01   0.101333E+01   0.139535E+02   0.108597E+01   0.264552E+00
 0.133900E+01   0.107566E+01   0.139624E+02   0.115769E+01   0.270029E+00
