rho_n,cs2
0.5969556585043021, 0.01764594791216778
0.6710787557908671, 0.01839726209615855
0.7769688947716744, 0.021384782890728538
0.8722700198544011, 0.025860152102119782
0.9887491727332893, 0.03108190884711437
1.0628722700198545, 0.03704414114524912
1.1369953673064197, 0.04300637344338387
1.200529450694904, 0.04747878666454275
1.253474520185308, 0.053439048302522774
1.3487756452680344, 0.062380918754608605
1.3911317008603574, 0.06982902880940933
1.4546657842488417, 0.07727910952436479
1.528788881535407, 0.08919667681009236
1.613500992720053, 0.1026040631727958
1.6876240900066177, 0.11898813169921818
1.7723362011912642, 0.13388435180881975
1.8411647915287892, 0.15324559516400005
1.8941098610191922, 0.16813885928336947
1.9523494374586368, 0.18303261606777765
2.0105890138980804, 0.2009040403459822
2.0794176042356054, 0.22026528370116272
2.14824619457313, 0.24111536080324114
2.2064857710125745, 0.2589867850814458
2.270019854401059, 0.2768587020246891
2.3229649238914623, 0.2947296336378552
2.386499007279947, 0.31111271683420016
2.4500330906684313, 0.3304734675243418
2.508272667107875, 0.34685605805564823
2.5771012574454004, 0.3617508001701337
2.6512243547319656, 0.37739045182310704
2.6935804103242886, 0.3885606462451535
2.7465254798146916, 0.3974985753769299
2.810059563203177, 0.40494865609188535
2.8630046326935807, 0.41388658522366173
2.979483785572469, 0.42134159258900417
3.095962938451357, 0.4287965999543464
3.201853077432164, 0.42806203638167095
3.307743216412972, 0.4250942221886481
3.4030443414956983, 0.42063658891864963
3.477167438782263, 0.4146881512415981
3.583057577763071, 0.4079982526813295
3.7101257445400404, 0.3960994066670719
3.7948378557246856, 0.3871742868263012
3.8795499669093316, 0.3789935838589795
3.9536730641958973, 0.3700674786881316
4.027796161482462, 0.36263020726418194
4.1125082726671085, 0.3522162536765129
4.207809397749834, 0.3432921191658196
4.313699536730642, 0.33288013623830537
4.382528127068166, 0.3254423721493169
4.483123759099934, 0.31726314717711157
4.599602911978822, 0.30759656645312383
4.684315023163469, 0.3009046972327004
4.769027134348114, 0.2942128280122773
4.86432825943084, 0.2882663609953805
4.970218398411648, 0.28083204556166275
5.1078755790866985, 0.2748895198650755
5.245532759761748, 0.26745816042159
5.383189940436797, 0.2600268009781044
5.531436135009928, 0.25557409435849276
5.6267372600926535, 0.2526052948353924
5.774983454665783, 0.2481525882157808
5.923229649238914, 0.24444429846961824
6.082064857710126, 0.24148141092698217
6.209133024487095, 0.24000440114101218
6.336201191264063, 0.23852739135504242
6.473858371939112, 0.23705136689914985
6.611515552614163, 0.23706417619015563
6.770350761085373, 0.23707895614131613
6.939774983454665, 0.23411705392875748
7.077432164129714, 0.23412986321976326
7.257445400397087, 0.23414661383107838
7.4480476505625415, 0.23565318351936926
7.596293845135671, 0.2341781443935541
7.786896095301124, 0.23568471408184488
7.913964262078093, 0.23569653804277324
8.083388484447385, 0.23347905270366376
8.231634679020516, 0.23423726419819602
8.379880873593645, 0.2342510588192791
8.559894109861018, 0.23426780943059433
8.72931833223031, 0.2327947409649339
8.88815354070152, 0.23280952091609441
9.046988749172733, 0.2328243008672548
9.227001985440104, 0.23209663460512087
9.385837193911316, 0.2336002483031796
9.534083388484445, 0.23435845979771186
9.682329583057577, 0.23437225441879495
9.894109861019192, 0.23364754414689304
9.999999999999998, 0.23291298057421772
9.994705493050958, 0.8478008253781615
9.841164791528788, 0.8470421212185906
9.682329583057577, 0.846282924393981
9.544672402382528, 0.8462701151029752
9.375248180013235, 0.8462543498217374
9.216412971542024, 0.8469839867440261
9.057577763070814, 0.8462247899194164
8.8987425545996, 0.8469544268417051
8.73990734612839, 0.8469396468905447
8.602250165453341, 0.8469268375995389
8.45400397088021, 0.8469130429784558
8.30575777630708, 0.8468992483573727
8.062210456651224, 0.8446433351452459
7.913964262078093, 0.8446295405241628
7.765718067504961, 0.846104579649978
7.5857048312375905, 0.8460878290386628
7.426869622766379, 0.8460730490875024
7.257445400397087, 0.8468017006797136
7.109199205823957, 0.8475323229320796
6.960953011250826, 0.8475185283109965
6.8127068166776965, 0.8475047336899134
6.696227663798808, 0.8489827288059606
6.537392455327597, 0.8489679488548002
6.378557246856387, 0.8489531689036397
6.230311052283257, 0.8504282080294548
6.071475843812044, 0.8489245943313961
5.933818663136995, 0.8489117850403903
5.806750496360026, 0.8503887948263603
5.637326273990734, 0.8503730295451224
5.478491065519524, 0.850358249593962
5.29847782925215, 0.8510859158560959
5.160820648577101, 0.8518175234385392
5.033752481800132, 0.8518056994776109
4.927862342819324, 0.8525402630502864
4.790205162144275, 0.8517830368858315
4.599602911978822, 0.8510208840709899
4.472534745201854, 0.8502646432366123
4.313699536730642, 0.8487610295385536
4.15486432825943, 0.8472574158404949
3.9854401058901394, 0.8442639830654605
3.837193911317008, 0.8397836872036826
3.6889477167438787, 0.8345589744684555
3.5724685638649905, 0.8278483839765624
3.4401058901389807, 0.8189030648692057
3.2971542025148906, 0.8084679266848736
3.170086035737922, 0.7958010158753098
3.085373924553276, 0.7846268801329539
3.011250827266711, 0.7741981465941246
2.926538716082065, 0.7578130927376248
2.8524156187955003, 0.7444066917049988
2.7835870284579753, 0.7310007833374115
2.7041694242223695, 0.7161050558928488
2.682991396426208, 0.7041924152575079
2.6088682991396426, 0.6885527636045345
2.56651224354732, 0.6729160679417934
2.5135671740569165, 0.6572783869489748
2.4712111184645935, 0.638664023792437
2.42356055592323, 0.6178159173505131
2.3653209794837857, 0.5984556593254102
2.312375909993382, 0.5761182264715494
2.2806088682991392, 0.5582492655185383
2.2382528127068166, 0.5403793192354496
2.2064857710125745, 0.5239991920293365
