[0.593261, 0.690183, 0.800966, 0.92641, 1.07339, 1.31713, 1.54353, 1.7478, 1.9348, 2.11362, 2.1136225000000013]
[12.227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.1978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[13.0594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.3826, 12.2509, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.1466, 12.1409, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.3674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.4924, 12.4939, 12.4938, 0, 0, 0, 0, 0, 0, 0, 0]
[12.4195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.6651, 12.3193, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12.3248, 12.2099, 12.1741, 12.1676, 12.16, 12.1642, 12.1704, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
